id,name,country_id
1,Puerto Rico,1
2,Virgin Islands,1
3,Massachusetts,1
4,Rhode Island,1
5,New Hampshire,1
6,Maine,1
7,Vermont,1
8,Connecticut,1
9,New York,1
10,New Jersey,1
11,Pennsylvania,1
12,Delaware,1
13,District of Columbia,1
14,Virginia,1
15,Maryland,1
16,West Virginia,1
17,North Carolina,1
18,South Carolina,1
19,Georgia,1
20,Florida,1
21,Alabama,1
22,Tennessee,1
23,Mississippi,1
24,Kentucky,1
25,Ohio,1
26,Indiana,1
27,Michigan,1
28,Iowa,1
29,Wisconsin,1
30,Minnesota,1
31,South Dakota,1
32,North Dakota,1
33,Montana,1
34,Illinois,1
35,Missouri,1
36,Kansas,1
37,Nebraska,1
38,Louisiana,1
39,Arkansas,1
40,Oklahoma,1
41,Texas,1
42,Colorado,1
43,Wyoming,1
44,Idaho,1
45,Utah,1
46,Arizona,1
47,New Mexico,1
48,Nevada,1
49,California,1
50,Hawaii,1
51,American Samoa,1
52,Guam,1
53,Northern Mariana Islands,1
54,Oregon,1
55,Washington,1
56,Alaska,1